variable,mean_importance,sd_importance
app_lt_entropy_log_4_coef,7.131771476165321e-4,3.236402506579423e-5
tqwt_energy_dec_28,7.115264493274846e-4,3.0362683348838342e-5
det_lt_entropy_log_3_coef,7.114205210769735e-4,4.54698956114079e-5
tqwt_median_value_dec_35,7.075013482028131e-4,5.140276625536885e-5
tqwt_std_value_dec_15,7.052095062889264e-4,4.931427119556165e-5
tqwt_tkeo_mean_dec_9,7.003815248267613e-4,4.331399258517574e-5
tqwt_energy_dec_30,6.952303055692046e-4,5.88790667385556e-5
ed_1_coef,6.940085882132743e-4,5.853208602225298e-5
vfer_nsr_seo,6.920606349977742e-4,4.792589000370346e-5
ed2_1_coef,6.913593269061773e-4,5.195755731052883e-5
tqwt_std_value_dec_31,6.90346420833508e-4,6.747768614890688e-5
tqwt_mean_value_dec_16,6.88308713920997e-4,4.315386295468956e-5
app_lt_entropy_shannon_6_coef,6.854415397462585e-4,3.4916182928582623e-5
tqwt_entropy_log_dec_28,6.836880464559955e-4,4.3995695886964624e-5
app_det_tkeo_mean_5_coef,6.818597226648575e-4,2.333817240107491e-5
gne_nsr_seo,6.786627962815902e-4,4.59039399823353e-5
tqwt_kurtosis_value_dec_21,6.768954825599286e-4,3.339659769673322e-5
tqwt_max_value_dec_34,6.762196668909317e-4,3.297092027038789e-5
std_mfcc_3rd_coef,6.71047876875522e-4,6.180458205443778e-5
tqwt_entropy_log_dec_18,6.695768737082411e-4,4.249680584312761e-5
tqwt_std_value_dec_8,6.620787233256572e-4,5.643415563932007e-5
std_mfcc_10th_coef,6.586580293090385e-4,6.352148993358227e-5
tqwt_entropy_shannon_dec_14,6.557597548707934e-4,2.9588554256669043e-5
tqwt_tkeo_std_dec_34,6.536277646315801e-4,4.623366163032403e-5
tqwt_entropy_log_dec_8,6.523717166510581e-4,3.9913991731514085e-5
std_mfcc_2nd_coef,6.508585477461105e-4,3.946962919565331e-5
tqwt_skewness_value_dec_23,6.469032620534975e-4,7.568792548742149e-5
tqwt_tkeo_std_dec_15,6.443536036093724e-4,4.5236751637844235e-5
tqwt_skewness_value_dec_11,6.438561205486863e-4,3.858230398698395e-5
tqwt_tkeo_std_dec_33,6.421037820974711e-4,3.4354272665942264e-5
tqwt_min_value_dec_18,6.414628348268195e-4,5.1155838596142527e-5
app_entropy_log_4_coef,6.411518281344121e-4,2.905989090742933e-5
ppe,6.408296469478004e-4,6.421809634120101e-5
tqwt_entropy_shannon_dec_28,6.397521817572693e-4,4.442145550437214e-5
tqwt_median_value_dec_7,6.377689059005314e-4,3.990512943386269e-5
tqwt_entropy_shannon_dec_29,6.346856501417268e-4,4.548705979684534e-5
mean_5th_delta,6.3454869001297e-4,8.070747303258708e-5
app_det_tkeo_mean_7_coef,6.342804635727307e-4,3.137481722583612e-5
tqwt_min_value_dec_8,6.324310025613917e-4,3.1279697902720434e-5
tqwt_tkeo_mean_dec_1,6.280023850427026e-4,5.226306486169938e-5
tqwt_max_value_dec_33,6.27222263761896e-4,4.4828820985872084e-5
tqwt_skewness_value_dec_3,6.267922994419293e-4,6.260105169463702e-5
tqwt_max_value_dec_17,6.255441843858172e-4,3.984418213871355e-5
imf_snr_seo,6.236867605626013e-4,4.526399540283979e-5
tqwt_tkeo_mean_dec_25,6.224332699299464e-4,4.004554369230653e-5
tqwt_std_value_dec_16,6.222309496896881e-4,3.0657671222672585e-5
tqwt_median_value_dec_28,6.210601295926864e-4,3.311780483836185e-5
f3,6.207952248180551e-4,3.625055418925849e-5
mean_12th_delta,6.186935768567398e-4,7.25963972756224e-5
tqwt_mean_value_dec_19,6.179874893499723e-4,4.149073080639669e-5
tqwt_tkeo_std_dec_28,6.170143903498963e-4,5.909779690548442e-5
tqwt_entropy_log_dec_14,6.167364686218953e-4,3.648890692643321e-5
app_lt_tkeo_std_6_coef,6.161030391062468e-4,4.300798628413722e-5
app_tkeo_std_6_coef,6.117374597720073e-4,3.841989582135935e-5
det_lt_entropy_shannon_1_coef,6.11064648031198e-4,4.897496110564302e-5
app_lt_entropy_shannon_9_coef,6.103239497967002e-4,3.569717016331464e-5
tqwt_tkeo_mean_dec_36,6.097753126461096e-4,3.0512566332773163e-5
tqwt_median_value_dec_3,6.090584845621948e-4,3.9358949191562675e-5
gne_snr_seo,6.021354887492729e-4,3.333366180389248e-5
tqwt_tkeo_mean_dec_18,6.008623102884982e-4,3.057889636400326e-5
tqwt_max_value_dec_14,5.993619963794042e-4,4.654968069308429e-5
tqwt_max_value_dec_7,5.989239754102029e-4,4.9697280661472465e-5
tqwt_entropy_shannon_dec_9,5.945321855530215e-4,3.806688425222412e-5
tqwt_skewness_value_dec_17,5.911939913967132e-4,5.2026593776995955e-5
app_lt_tkeo_mean_1_coef,5.895470585206028e-4,4.711969289653302e-5
tqwt_std_value_dec_28,5.86976725610946e-4,4.141435268109944e-5
tqwt_entropy_shannon_dec_8,5.817186650097743e-4,3.709068906957154e-5
vfer_snr_seo,5.803175370775968e-4,4.938885229749263e-5
f4,5.786856678600002e-4,4.410423757667373e-5
tqwt_entropy_shannon_dec_25,5.767820103124373e-4,4.520362529745718e-5
tqwt_kurtosis_value_dec_14,5.753126515396936e-4,4.996106535607378e-5
tqwt_std_value_dec_2,5.752528951905992e-4,3.175727849557583e-5
tqwt_entropy_log_dec_15,5.748749375428122e-4,3.418766108459103e-5
app_det_tkeo_mean_1_coef,5.687458032941833e-4,2.7997957806166915e-5
tqwt_min_value_dec_19,5.687241635077113e-4,3.592260547983521e-5
tqwt_skewness_value_dec_9,5.677716421022411e-4,4.0827968412306225e-5
mean_mfcc_12th_coef,5.656175608213792e-4,4.299015352029132e-5
b4,5.625407129980722e-4,4.523289804824679e-5
app_entropy_log_9_coef,5.606805975183456e-4,3.032799722629535e-5
tqwt_mean_value_dec_32,5.59728011055679e-4,3.993904681702685e-5
tqwt_max_value_dec_18,5.596614205207078e-4,5.713217191479016e-5
gne_snr_tkeo,5.588004512473135e-4,3.677181654531617e-5
tqwt_min_value_dec_25,5.575689384746488e-4,5.095764821203086e-5
app_lt_entropy_log_5_coef,5.569438605389552e-4,3.472747010027466e-5
tqwt_min_value_dec_34,5.56505445377947e-4,4.8891290813457235e-5
mean_log_energy,5.55198201500269e-4,4.477183873994746e-5
app_tkeo_std_4_coef,5.549943613282852e-4,3.499993863397202e-5
std_mfcc_6th_coef,5.545574288353097e-4,3.017964894887089e-5
tqwt_kurtosis_value_dec_7,5.535132045317105e-4,2.681433389831102e-5
mean_mfcc_4th_coef,5.513432016240703e-4,3.429508060431006e-5
tqwt_tkeo_mean_dec_31,5.457676823603626e-4,4.4459678309712634e-5
tqwt_entropy_log_dec_29,5.440217540952812e-4,4.466332892678053e-5
app_det_tkeo_mean_3_coef,5.423632159637112e-4,3.257276643808866e-5
tqwt_entropy_shannon_dec_20,5.416718998778034e-4,3.5639912880749883e-05
tqwt_max_value_dec_19,5.39354527071473e-4,4.199251339849684e-5
app_lt_entropy_shannon_3_coef,5.350523849879438e-4,2.8852463717448745e-5
